xbegin,ybegin,zbegin,xdif,ydif,zdif,number
3599,472,2691,219,-4,207,6,
3599,472,2696,326,-6,303,6,
0,472,2699,213,-5,174,6,
42,1540,899,126,0,63,1,
39,1540,899,247,0,123,1,
35,1540,899,370,0,182,1,
28,1540,899,495,1,241,1,
20,1540,899,620,2,301,1,
11,1540,899,746,0,363,1,
2,1541,899,714,7,343,1,
3598,1541,899,210,48,158,1,
23,1058,1539,1875,71,-1840,4,
36,1061,1566,1951,64,-1759,4,
49,1063,1593,1983,60,-1725,4,
61,1067,1621,2017,64,-1700,4,
72,1071,1650,2068,76,-1673,4,
83,1076,1679,2130,90,-1649,4,
93,1082,1709,2199,106,-1634,4,
103,1089,1740,2276,122,-1627,4,
111,1096,1772,2360,133,-1635,4,
117,1106,1805,2491,242,-1430,4,
110,1111,1824,1706,88,-21,4,
101,1115,1840,1575,19,176,4,
92,1117,1856,1560,-15,258,4,
82,1119,1870,1492,-38,333,4,
71,1120,1884,1447,-35,426,4,
59,1121,1897,1404,-53,527,4,
47,1122,1909,1368,-55,631,4,
33,1122,1920,1341,-71,738,4,
19,1121,1930,1312,-67,846,4,
4,1121,1939,1236,-30,913,4,
3596,1124,1942,502,226,494,4,
3591,1125,1945,311,59,308,4,
3588,1125,1945,157,-30,258,4,
3586,1125,1945,53,-19,189,4,
0,1124,1798,237,2,-89,4,
736,2475,2604,8700,1615,-7400,6,
634,2395,2506,6921,551,-6370,6,
530,2356,2453,6914,551,-6363,6,
425,2337,2420,6907,550,-6357,6,
319,2328,2395,6901,550,-6351,6,
213,2325,2373,6894,549,-6344,6,
108,2326,2354,6887,548,-6338,6,
2,2331,2335,6880,548,-6332,6,
3497,2339,2315,6873,547,-6325,6,
3392,2351,2292,6866,547,-6319,6,
3289,2369,2264,6859,546,-6313,6,
3186,2397,2228,6852,546,-6306,6,
3085,2440,2177,6846,545,-6300,6,
2988,2515,2096,6839,545,-6294,6,
2902,2659,1945,6832,544,-6287,6,
2844,2959,1638,6825,544,-6281,6,
2852,3374,1216,6818,543,-6275,6,
2919,33,951,6811,542,-6269,6,
3008,156,821,6805,542,-6262,6,
3105,222,748,6798,541,-6256,6,
3206,261,701,6791,541,-6250,6,
3308,286,667,6784,540,-6243,6,
3410,303,641,6777,540,-6237,6,
3514,314,619,6771,539,-6231,6,
17,322,599,6764,539,-6225,6,
121,326,581,6757,538,-6219,6,
224,326,562,6750,538,-6212,6,
328,323,541,6744,537,-6206,6,
431,313,516,6737,536,-6200,6,
533,295,483,6730,536,-6194,6,
635,257,431,6723,535,-6188,6,
732,166,327,6717,535,-6181,6,
814,3460,8,6710,534,-6175,6,
809,2745,2881,6703,534,-6169,6,
724,2474,2597,6696,533,-6163,6,
627,2391,2501,6690,533,-6157,6,
526,2355,2451,6683,532,-6150,6,
424,2337,2419,6676,532,-6144,6,
322,2329,2395,6670,531,-6138,6,
220,2325,2375,6663,531,-6132,6,
118,2326,2356,6656,530,-6126,6,
16,2330,2337,6650,530,-6120,6,
3514,2337,2318,6643,529,-6114,6,
3413,2348,2297,6636,528,-6108,6,
3312,2365,2271,6630,528,-6101,6,
3213,2389,2239,6623,527,-6095,6,
