xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2703,2960,3008,736,-16,643,123,2
103,1271,380,27,-7,686,93,3
95,1270,375,60,-12,758,94,3
87,1269,370,94,-17,832,95,3
78,1268,365,127,-23,911,96,3
68,1267,360,161,-28,991,97,3
57,1266,354,196,-34,1074,98,3
44,1265,348,232,-42,1162,99,3
31,1264,342,267,-47,1251,100,3
16,1264,336,301,-49,1348,101,3
1,1263,329,281,-20,1418,102,3
2951,2276,3188,26,-205,688,62,2
2955,2285,3175,80,-209,612,63,2
2959,2293,3163,134,-210,539,64,2
2962,2301,3152,190,-208,469,65,2
2963,2309,3140,247,-201,402,66,2
2964,2317,3128,308,-191,338,67,2
2964,2326,3117,365,-186,275,68,2
2963,2335,3105,427,-180,212,69,2
2961,2344,3092,490,-173,151,70,2
2958,2354,3079,555,-165,91,71,2
2955,2365,3065,623,-156,32,72,2
2701,1777,0,219,-4,255,101,2
0,157,881,226,-5,812,87,1
0,157,892,264,-11,945,88,1
3599,156,899,121,-13,549,89,1
833,2218,1888,1858,-21,90,214,5
3591,2900,2664,678,-20,178,86,6
3597,2900,2659,622,-6,297,87,6
79,672,1912,5030,-80,1284,3,3
87,680,1971,5025,-80,1283,4,3
95,688,2031,5020,-79,1282,5,3
101,698,2091,5015,-79,1281,6,3
107,708,2151,5010,-79,1279,7,3
111,718,2211,5005,-79,1278,8,3
114,729,2271,5000,-79,1277,9,3
117,740,2331,4995,-79,1275,10,3
118,752,2392,4990,-79,1274,11,3
118,763,2452,4985,-79,1273,12,3
116,775,2512,4980,-79,1272,13,3
114,786,2572,4975,-79,1270,14,3
110,796,2632,4970,-79,1269,15,3
106,807,2691,4965,-79,1268,16,3
100,817,2751,4960,-78,1267,17,3
93,826,2810,4955,-78,1265,18,3
86,834,2869,4950,-78,1264,19,3
77,841,2927,4945,-78,1263,20,3
68,848,2985,4941,-78,1261,21,3
59,853,3043,4936,-78,1260,22,3
49,858,3101,4931,-78,1259,23,3
38,862,3159,4926,-78,1258,24,3
28,864,3216,4921,-78,1256,25,3
17,865,3273,4916,-78,1255,26,3
6,866,3330,4911,-78,1254,27,3
3595,865,3387,4906,-78,1253,28,3
3584,863,3444,4901,-78,1251,29,3
3573,860,3501,4896,-77,1250,30,3
3563,856,3558,4891,-77,1249,31,3
3553,851,15,4886,-77,1248,32,3
43,847,113,70,-13,52,44,3
3531,3508,887,70,-6,835,253,1
3535,3507,897,185,-4,881,254,1
3542,3506,902,627,-37,513,255,1
3553,3505,905,878,-3,360,256,1
841,2799,2701,3,-3,51,173,5
843,2799,2702,28,-1,180,174,5
888,2802,2705,170,-2,981,180,5
3188,3147,1799,71,-1,93,109,4
3190,3147,1799,74,-2,111,110,4
3191,3147,1799,91,-2,115,111,4
3193,3147,1800,109,-1,118,112,4
3195,3147,1800,125,-1,124,113,4
3197,3147,1800,138,-1,134,114,4
3200,3147,1799,149,-1,147,115,4
3202,3147,1799,160,-1,161,116,4
3205,3147,1799,173,-1,175,117,4
3208,3147,1799,187,-1,190,118,4
11,3148,1798,266,-7,346,153,4
29,263,738,295,-41,87,279,1
31,263,742,237,-42,200,280,1
31,263,746,182,-43,309,281,1
30,262,751,126,-43,419,282,1
28,262,757,72,-43,531,283,1
3598,265,812,342,-79,1203,289,1
3597,264,828,534,-34,1260,290,1
3597,263,844,658,-14,1309,291,1
3598,263,862,779,-7,1358,292,1
0,263,900,709,-12,1383,294,1
3599,263,907,202,-7,546,295,1
630,2896,1456,812,-55,40,33,5
635,2878,1437,816,-58,124,34,5
640,2861,1419,822,-58,211,35,5
646,2843,1399,832,-65,293,36,5
652,2824,1379,846,-69,378,37,5
659,2804,1359,863,-74,464,38,5
667,2783,1336,882,-77,552,39,5
676,2759,1312,905,-78,641,40,5
685,2734,1285,930,-76,736,41,5
695,2705,1255,957,-74,828,42,5
705,2672,1222,992,-77,920,43,5
716,2634,1182,1028,-78,1016,44,5
727,2589,1136,1071,-82,1118,45,5
737,2536,1081,1115,-83,1217,46,5
747,2472,1016,1166,-85,1326,47,5
